Ticker,Date,Open,High,Low,Close,Adj_Close,Volume
AAPL,2024-04-01,171.19000244140625,171.25,169.47999572753906,170.02999877929688,,46240500
AAPL,2024-04-02,169.0800018310547,169.33999633789062,168.22999572753906,168.83999633789062,,49329500
AAPL,2024-04-03,168.7899932861328,170.67999267578125,168.5800018310547,169.64999389648438,,47691700
AAPL,2024-04-04,170.2899932861328,171.9199981689453,168.82000732421875,168.82000732421875,,53704400
AAPL,2024-04-05,169.58999633789062,170.38999938964844,168.9499969482422,169.5800018310547,,42055200
AAPL,2024-04-08,169.02999877929688,169.1999969482422,168.24000549316406,168.4499969482422,,37425500
AAPL,2024-04-09,168.6999969482422,170.0800018310547,168.35000610351562,169.6699981689453,,42451200
AAPL,2024-04-10,168.8000030517578,169.08999633789062,167.11000061035156,167.77999877929688,,49709300
AAPL,2024-04-11,168.33999633789062,175.4600067138672,168.16000366210938,175.0399932861328,,91070300
AAPL,2024-04-12,174.25999450683594,178.36000061035156,174.2100067138672,176.5500030517578,,101593300
AAPL,2024-04-15,175.36000061035156,176.6300048828125,172.5,172.69000244140625,,73531800
AAPL,2024-04-16,171.75,173.75999450683594,168.27000427246094,169.3800048828125,,73711200
AAPL,2024-04-17,169.61000061035156,170.64999389648438,168.0,168.0,,50901200
AAPL,2024-04-18,168.02999877929688,168.63999938964844,166.5500030517578,167.0399932861328,,43122900
AAPL,2024-04-19,166.2100067138672,166.39999389648438,164.0800018310547,165.0,,67772100
AAPL,2024-04-22,165.52000427246094,167.25999450683594,164.77000427246094,165.83999633789062,,48116400
AAPL,2024-04-23,165.35000610351562,167.0500030517578,164.9199981689453,166.89999389648438,,49537800
AAPL,2024-04-24,166.5399932861328,169.3000030517578,166.2100067138672,169.02000427246094,,48251800
AAPL,2024-04-25,169.52999877929688,170.61000061035156,168.14999389648438,169.88999938964844,,50558300
AAPL,2024-04-26,169.8800048828125,171.33999633789062,169.17999267578125,169.3000030517578,,44838400
AAPL,2024-04-29,173.3699951171875,176.02999877929688,173.10000610351562,173.5,,68169400
AAPL,2024-04-30,173.3300018310547,174.99000549316406,170.0,170.3300018310547,,65934800
